StrainIndex  Lineage  Cluster  Name
1            2        10       ERR069738
2            2        10       ERR129065
3            2        10       ERR129037
4            2        6        ERR069700
5            2        10       ERR124247
6            2        7        ERR124222
7            2        8        ERR065305
8            2        3        ERR069786
9            2        9        ERR129179
10           2        4        ERR129176
11           2        1        ERR069709
12           2        10       ERR067985
13           2        6        ERR129212
14           2        10       ERR068037
15           2        10       ERR069814
16           2        9        ERR124241
17           2        8        ERR069795
18           2        9        ERR124293
19           2        9        ERR069735
20           2        7        ERR069773
21           2        6        ERR067966
22           2        4        ERR129029
23           2        3        ERR129105
24           2        3        ERR124226
25           2        7        ERR129196
26           2        5        ERR069823
27           2        10       ERR124319
28           2        1        ERR068001
29           2        4        ERR129117
30           2        3        ERR069764
31           2        10       ERR068007
32           2        8        ERR068008
33           2        6        ERR067969
34           2        9        ERR069703
35           2        3        ERR129195
36           2        6        ERR065325
37           2        5        ERR124256
38           2        9        ERR129087
39           2        9        ERR069819
40           2        8        ERR129129
41           2        6        ERR065960
42           2        8        ERR069796
43           2        10       ERR065326
44           2        5        ERR069712
45           2        6        ERR124244
46           2        7        ERR129075
47           2        10       ERR069713
48           2        10       ERR069826
49           2        8        ERR069771
50           2        7        ERR069706
51           2        8        ERR065970
52           2        10       ERR129096
53           2        10       ERR129107
54           2        5        ERR069809
55           2        7        ERR065302
56           2        6        ERR129187
57           2        6        ERR124314
58           2        10       ERR069686
59           1        2        ERR069824
60           2        5        ERR068048
61           2        8        ERR065972
62           2        5        ERR129164
63           2        10       ERR069688
64           2        6        ERR069685
65           2        10       ERR124307
66           2        9        ERR067962
67           2        10       ERR124257
68           2        10       ERR129127
69           2        3        ERR065301
70           2        6        ERR124287
71           2        9        ERR068025
72           2        5        ERR067964
73           2        9        ERR069811
74           2        10       ERR069727
75           2        8        ERR129063
76           2        7        ERR065332
77           2        4        ERR129028
78           2        8        ERR065287
79           2        4        ERR129213
80           2        10       ERR129155
81           2        6        ERR129042
82           2        9        ERR129148
83           2        7        ERR129040
84           2        5        ERR069835
85           2        10       ERR129146
86           1        2        ERR129102
87           1        2        ERR069729
88           2        9        ERR129152
89           2        6        ERR069748
90           2        7        ERR069843
91           2        8        ERR124229
92           2        5        ERR129088
93           2        10       ERR069752
94           2        5        ERR065350
95           2        8        ERR129149
96           2        10       ERR129214
97           2        8        ERR069833
98           2        9        ERR124310
99           2        10       ERR068046
100          2        10       ERR129215
101          2        8        ERR129140
102          2        8        ERR069831
103          2        6        ERR068014
104          2        8        ERR124315
105          2        7        ERR124255
106          2        3        ERR065342
107          2        6        ERR124235
108          2        10       ERR129159
109          2        10       ERR129204
110          2        6        ERR129094
111          2        6        ERR069689
112          2        8        ERR069751
113          2        9        ERR068005
114          2        9        ERR069749
115          2        5        ERR067981
116          2        10       ERR067996
117          2        4        ERR129052
118          2        3        ERR069785
119          2        9        ERR069792
120          2        4        ERR124271
121          2        8        ERR069687
122          2        9        ERR124277
123          1        2        ERR124228
124          2        6        ERR129044
125          2        1        ERR065353
126          2        9        ERR129074
127          2        8        ERR069817
128          2        1        ERR065953
129          2        10       ERR129076
130          2        10       ERR129154
131          2        7        ERR069725
132          2        10       ERR068040
133          2        5        ERR129051
134          2        4        ERR129157
135          2        10       ERR124311
136          2        5        ERR069746
137          2        9        ERR068031
138          2        10       ERR067986
139          2        10       ERR124291
140          2        10       ERR129055
141          2        10       ERR069780
142          2        9        ERR065327
143          2        10       ERR069822
144          2        8        ERR129207
145          2        10       ERR124288
146          2        7        ERR129026
147          2        9        ERR124218
148          2        10       ERR068027
149          2        1        ERR069710
150          2        10       ERR065310
151          2        8        ERR129160
152          2        9        ERR065300
153          2        10       ERR069789
154          2        10       ERR065343
155          2        10       ERR069802
156          2        1        ERR129027
157          2        8        ERR129170
158          2        9        ERR129048
159          2        5        ERR065968
160          2        8        ERR068044
161          2        6        ERR129180
162          2        9        ERR068016
163          2        9        ERR065324
164          2        8        ERR129112
165          2        5        ERR129158
166          2        7        ERR069698
167          2        5        ERR069812
168          2        10       ERR124302
169          2        4        ERR129083
170          2        9        ERR065354
171          2        6        ERR069787
172          2        8        ERR068017
173          2        9        ERR129066
174          2        9        ERR129039
175          2        9        ERR065329
176          2        8        ERR124269
177          2        9        ERR129200
178          2        10       ERR067995
179          2        5        ERR068012
180          2        7        ERR124274
181          2        6        ERR069708
182          2        10       ERR129106
183          2        8        ERR069717
184          2        8        ERR067974
185          2        6        ERR069744
186          2        10       ERR129210
187          2        8        ERR129108
188          2        5        ERR129132
189          2        8        ERR069711
190          2        9        ERR068019
191          2        9        ERR129099
192          2        8        ERR129059
193          2        5        ERR065292
194          1        2        ERR067961
195          2        9        ERR069820
196          2        4        ERR129216
197          2        10       ERR129116
198          2        9        ERR124250
199          2        5        ERR069690
200          2        7        ERR065973
201          2        9        ERR065309
202          2        7        ERR124283
203          2        7        ERR065293
204          2        6        ERR069825
205          2        6        ERR069737
206          2        9        ERR124316
207          2        9        ERR065304
208          2        7        ERR129144
209          2        9        ERR124232
210          2        5        ERR068018
211          2        10       ERR124296
212          2        8        ERR067960
213          2        8        ERR068050
214          2        7        ERR068039
215          2        1        ERR068004
216          2        8        ERR129032
217          2        10       ERR124248
218          2        9        ERR068041
219          2        9        ERR129086
220          2        8        ERR065317
221          2        9        ERR069834
222          2        7        ERR069720
223          2        6        ERR129050
224          2        10       ERR129064
225          2        10       ERR069830
226          2        8        ERR069774
227          2        6        ERR129206
228          2        10       ERR069801
229          2        7        ERR124221
230          2        10       ERR129080
231          2        7        ERR068026
232          2        10       ERR129147
233          2        8        ERR069829
234          2        3        ERR129077
235          2        9        ERR067994
236          2        9        ERR069726
237          2        10       ERR065338
238          2        4        ERR129041
239          2        7        ERR065297
240          2        8        ERR129120
241          2        7        ERR129061
242          2        4        ERR124219
243          2        10       ERR065345
244          2        9        ERR124305
245          2        3        ERR069769
246          2        9        ERR065295
247          2        5        ERR069768
248          2        8        ERR129197
249          2        5        ERR065967
250          2        1        ERR124223
251          2        1        ERR069734
252          2        6        ERR129167
253          2        9        ERR129143
254          2        9        ERR124299
255          2        1        ERR129092
256          2        5        ERR129090
257          2        9        ERR068002
258          2        7        ERR068003
259          2        10       ERR124268
260          2        7        ERR129181
261          2        8        ERR069696
262          2        8        ERR129072
263          2        5        ERR065344
264          2        9        ERR129111
265          2        6        ERR068006
266          2        7        ERR068035
267          2        6        ERR069798
268          2        10       ERR069760
269          2        8        ERR067984
270          2        9        ERR069782
271          2        9        ERR124236
272          2        8        ERR068045
273          2        9        ERR065959
274          2        6        ERR129045
275          2        8        ERR069781
276          2        6        ERR069832
277          2        7        ERR065320
278          1        2        ERR124292
279          2        8        ERR129186
280          2        6        ERR124308
281          2        6        ERR129043
282          2        8        ERR069805
283          2        8        ERR124220
284          2        4        ERR069800
285          2        10       ERR068021
286          2        3        ERR067998
287          1        2        ERR124312
288          2        6        ERR065971
289          2        8        ERR129183
290          2        8        ERR068034
291          2        10       ERR065311
292          2        5        ERR068020
293          2        10       ERR069767
294          2        10       ERR067967
295          2        8        ERR069691
296          2        10       ERR129161
297          2        6        ERR069716
298          2        4        ERR124289
299          2        8        ERR129153
300          2        10       ERR129057
301          2        5        ERR067977
302          2        10       ERR129131
303          1        2        ERR069772
304          2        8        ERR124281
305          2        6        ERR069750
306          2        5        ERR069715
307          2        6        ERR124227
308          2        5        ERR069683
309          2        9        ERR069813
310          2        9        ERR124253
311          2        7        ERR069724
312          2        4        ERR065966
313          2        8        ERR124267
314          2        9        ERR124254
315          2        6        ERR129168
316          2        3        ERR124320
317          2        9        ERR065298
318          2        10       ERR069804
319          2        6        ERR065303
320          2        9        ERR065957
321          2        7        ERR068042
322          2        9        ERR069692
323          2        7        ERR124249
324          2        9        ERR069759
325          2        9        ERR069723
326          2        10       ERR067976
327          2        10       ERR065307
328          2        5        ERR065962
329          2        8        ERR069745
330          2        8        ERR129081
331          2        7        ERR129198
332          2        10       ERR069742
333          1        2        ERR069718
334          1        2        ERR124224
335          2        4        ERR069790
336          2        1        ERR069827
337          2        8        ERR129142
338          2        4        ERR124309
339          1        2        ERR069806
340          2        10       ERR129068
341          2        7        ERR067978
342          2        9        ERR069741
343          2        4        ERR129136
344          2        7        ERR129062
345          2        9        ERR129203
346          2        7        ERR068032
347          2        9        ERR065316
348          2        9        ERR124217
349          2        9        ERR067991
350          2        8        ERR124284
351          2        10       ERR129079
352          2        10       ERR069722
353          2        10       ERR124260
354          2        6        ERR069701
355          2        3        ERR129162
356          2        7        ERR129124
357          2        10       ERR124246
358          2        6        ERR065299
359          2        4        ERR129184
360          2        7        ERR124233
361          2        9        ERR124266
362          2        3        ERR069818
363          2        9        ERR068029
364          2        7        ERR124239
365          2        9        ERR124279
366          2        8        ERR129175
367          2        10       ERR065294
368          2        10       ERR129139
369          2        10       ERR069778
370          2        10       ERR068015
371          2        6        ERR129128
372          2        9        ERR129163
373          2        7        ERR068028
374          2        4        ERR065355
375          2        6        ERR068023
376          2        10       ERR069777
377          2        7        ERR069791
378          2        8        ERR124263
379          2        8        ERR069704
380          2        9        ERR129134
381          2        8        ERR129025
382          2        9        ERR065351
383          2        10       ERR069807
384          2        8        ERR129209
385          2        8        ERR069761
