StrainIndex  Lineage  Cluster  Name
1            2        8        ERR069738
2            2        6        ERR065974
3            2        3        ERR129065
4            2        8        ERR129037
5            2        8        ERR069700
6            2        7        ERR124247
7            2        4        ERR124222
8            2        7        ERR065305
9            2        4        ERR069786
10           2        5        ERR129179
11           2        6        ERR129176
12           2        6        ERR069709
13           2        8        ERR067985
14           2        7        ERR129212
15           2        8        ERR068037
16           2        7        ERR069814
17           2        5        ERR124241
18           2        6        ERR069795
19           2        5        ERR124293
20           2        7        ERR069735
21           2        8        ERR069773
22           2        8        ERR067966
23           2        3        ERR129029
24           2        7        ERR129105
25           2        5        ERR124226
26           2        7        ERR129196
27           2        8        ERR069823
28           2        6        ERR124319
29           2        6        ERR068001
30           2        6        ERR129117
31           2        7        ERR069764
32           2        7        ERR068007
33           2        7        ERR068008
34           2        8        ERR067969
35           2        5        ERR069703
36           2        7        ERR129195
37           2        4        ERR065325
38           2        2        ERR124256
39           2        5        ERR129087
40           2        7        ERR069819
41           2        7        ERR129129
42           2        4        ERR065960
43           2        7        ERR069796
44           2        8        ERR065326
45           2        2        ERR069712
46           2        6        ERR124244
47           2        4        ERR129075
48           2        8        ERR069713
49           2        3        ERR069826
50           2        6        ERR065341
51           2        7        ERR069771
52           2        4        ERR069706
53           2        6        ERR065970
54           2        6        ERR129130
55           2        8        ERR129096
56           2        6        ERR129107
57           2        2        ERR069809
58           2        8        ERR065302
59           2        8        ERR129187
60           2        8        ERR124314
61           2        8        ERR069686
62           2        8        ERR069824
63           2        2        ERR068048
64           2        7        ERR065972
65           2        2        ERR129164
66           2        8        ERR069688
67           2        4        ERR069685
68           2        8        ERR124307
69           2        5        ERR067962
70           2        7        ERR124257
71           2        8        ERR129127
72           2        7        ERR065301
73           2        8        ERR124287
74           2        6        ERR068025
75           2        8        ERR067964
76           2        6        ERR069811
77           2        8        ERR069727
78           2        7        ERR129063
79           2        8        ERR065332
80           2        6        ERR129028
81           2        7        ERR065287
82           2        6        ERR129213
83           2        6        ERR129155
84           2        6        ERR129042
85           2        5        ERR129148
86           2        8        ERR129040
87           2        8        ERR069835
88           2        8        ERR129146
89           2        6        ERR129102
90           2        8        ERR069729
91           2        6        ERR129152
92           2        7        ERR069748
93           2        4        ERR069843
94           2        7        ERR124229
95           2        2        ERR129088
96           2        8        ERR069752
97           2        2        ERR065350
98           2        7        ERR129149
99           2        8        ERR129214
100          2        7        ERR069833
101          2        6        ERR124310
102          2        8        ERR068046
103          2        8        ERR129215
104          2        7        ERR129140
105          2        7        ERR069831
106          2        8        ERR068014
107          2        7        ERR124315
108          2        4        ERR124255
109          2        7        ERR065342
110          2        6        ERR124235
111          2        8        ERR129159
112          2        8        ERR129204
113          2        8        ERR129094
114          2        7        ERR069689
115          2        6        ERR069751
116          2        6        ERR068005
117          2        5        ERR069749
118          2        2        ERR067981
119          2        7        ERR067996
120          2        3        ERR129052
121          2        7        ERR069785
122          2        8        ERR069792
123          2        3        ERR124271
124          2        7        ERR069687
125          2        5        ERR124277
126          2        8        ERR124228
127          2        7        ERR129044
128          2        6        ERR065353
129          2        5        ERR129074
130          2        7        ERR069817
131          2        6        ERR065953
132          2        6        ERR129076
133          2        8        ERR129154
134          2        8        ERR069725
135          2        8        ERR068040
136          2        2        ERR129051
137          2        6        ERR129157
138          2        7        ERR124311
139          2        8        ERR069746
140          2        8        ERR068031
141          2        8        ERR067986
142          2        8        ERR124291
143          2        8        ERR129055
144          2        3        ERR069780
145          2        6        ERR065327
146          2        8        ERR069822
147          2        7        ERR129207
148          2        6        ERR124288
149          2        8        ERR129026
150          2        7        ERR124218
151          2        3        ERR068027
152          2        6        ERR069710
153          2        8        ERR065310
154          2        7        ERR129160
155          2        5        ERR065300
156          2        7        ERR069789
157          2        8        ERR065343
158          2        6        ERR069802
159          2        6        ERR129027
160          2        7        ERR129170
161          2        6        ERR129048
162          2        2        ERR065968
163          2        6        ERR065965
164          2        7        ERR068044
