StrainIndex  Lineage  Cluster  Name
1            1        1        ERR124222
2            1        1        ERR129075
3            1        1        ERR069843
4            1        1        ERR124255
5            1        1        ERR069785
6            1        1        ERR065973
7            1        1        ERR069720
8            1        1        ERR068035
9            1        1        ERR129062
10           1        1        ERR124233
11           1        1        ERR068036
12           1        1        ERR129036
13           1        1        ERR129031
14           1        1        ERR129049
15           1        1        ERR067990
16           1        1        ERR069797
17           1        1        ERR069821
18           1        1        ERR129193
