StrainIndex  Lineage  Cluster  Name
1            5        9        ERR069738
2            3        4        ERR065974
3            5        9        ERR129065
4            5        7        ERR129037
5            5        9        ERR069700
6            5        9        ERR124247
7            2        3        ERR124222
8            4        8        ERR065305
9            5        9        ERR069786
10           5        9        ERR129179
11           5        9        ERR129176
12           5        9        ERR069709
13           5        7        ERR067985
14           5        9        ERR129212
15           5        9        ERR068037
16           5        7        ERR069814
17           5        9        ERR124241
18           4        8        ERR069795
19           5        9        ERR124293
20           4        8        ERR069735
21           5        6        ERR069773
22           5        9        ERR067966
23           5        9        ERR129029
24           5        6        ERR129105
25           4        8        ERR124226
26           5        6        ERR129196
27           5        9        ERR069823
28           5        9        ERR124319
29           5        9        ERR068001
30           5        9        ERR129117
31           5        9        ERR069764
32           5        7        ERR068007
33           4        8        ERR068008
34           5        9        ERR067969
35           5        9        ERR069703
36           5        6        ERR129195
37           5        9        ERR065325
38           5        9        ERR124256
39           5        9        ERR129087
40           4        8        ERR069819
41           4        8        ERR129129
42           5        9        ERR065960
43           4        8        ERR069796
44           5        7        ERR065326
45           5        9        ERR069712
46           5        9        ERR124244
47           2        3        ERR129075
48           5        7        ERR069713
49           5        9        ERR069826
50           3        4        ERR065341
51           4        8        ERR069771
52           5        5        ERR069706
53           4        8        ERR065970
54           3        4        ERR129130
55           5        9        ERR129096
56           5        9        ERR129107
57           5        9        ERR069809
58           5        6        ERR065302
59           5        9        ERR129187
60           5        9        ERR124314
61           5        9        ERR069686
62           5        6        ERR069824
63           5        9        ERR068048
64           4        8        ERR065972
65           5        9        ERR129164
66           5        9        ERR069688
67           5        9        ERR069685
68           5        9        ERR124307
69           5        9        ERR067962
70           5        7        ERR124257
71           5        7        ERR129127
72           5        6        ERR065301
73           5        9        ERR124287
74           5        9        ERR068025
75           5        9        ERR067964
76           5        9        ERR069811
77           5        7        ERR069727
78           4        8        ERR129063
79           5        9        ERR065332
80           5        9        ERR129028
81           4        8        ERR065287
82           5        9        ERR129213
83           5        9        ERR129155
84           5        9        ERR129042
85           5        9        ERR129148
86           5        6        ERR129040
87           5        9        ERR069835
88           5        9        ERR129146
89           5        6        ERR129102
90           5        6        ERR069729
91           5        9        ERR129152
92           5        9        ERR069748
93           5        5        ERR069843
94           4        8        ERR124229
95           5        9        ERR129088
96           5        7        ERR069752
97           5        9        ERR065350
98           4        8        ERR129149
99           5        7        ERR129214
100          4        8        ERR069833
101          5        9        ERR124310
102          5        7        ERR068046
103          5        7        ERR129215
104          4        8        ERR129140
105          4        8        ERR069831
106          5        9        ERR068014
107          4        8        ERR124315
108          2        3        ERR124255
109          5        6        ERR065342
110          5        9        ERR124235
111          5        7        ERR129159
112          5        9        ERR129204
113          5        9        ERR129094
114          5        9        ERR069689
115          4        8        ERR069751
116          5        9        ERR068005
117          5        9        ERR069749
118          5        9        ERR067981
119          5        9        ERR067996
120          5        9        ERR129052
121          4        8        ERR069785
122          1        2        ERR069792
123          5        6        ERR124271
124          4        8        ERR069687
125          5        9        ERR124277
126          5        9        ERR124228
127          5        9        ERR129044
128          5        9        ERR065353
129          5        9        ERR129074
130          4        8        ERR069817
131          5        9        ERR065953
132          5        9        ERR129076
133          5        7        ERR129154
134          5        9        ERR069725
135          5        7        ERR068040
136          5        9        ERR129051
137          5        9        ERR129157
138          5        6        ERR124311
139          5        9        ERR069746
140          1        2        ERR068031
141          5        7        ERR067986
142          5        7        ERR124291
143          5        9        ERR129055
144          5        9        ERR069780
145          5        9        ERR065327
146          5        7        ERR069822
147          4        8        ERR129207
148          5        9        ERR124288
149          5        9        ERR129026
150          5        9        ERR124218
151          5        9        ERR068027
152          5        9        ERR069710
153          5        7        ERR065310
154          4        8        ERR129160
155          5        9        ERR065300
156          5        7        ERR069789
157          5        9        ERR065343
158          5        9        ERR069802
159          5        9        ERR129027
160          4        8        ERR129170
161          5        9        ERR129048
162          5        9        ERR065968
163          3        4        ERR065965
164          4        8        ERR068044
165          5        9        ERR129180
166          5        5        ERR068016
167          5        9        ERR065324
168          4        8        ERR129112
169          5        9        ERR129158
170          5        9        ERR069698
171          5        9        ERR069812
172          5        7        ERR124302
173          5        9        ERR129083
174          1        2        ERR065354
175          5        9        ERR069787
176          4        8        ERR068017
177          2        3        ERR129066
178          5        9        ERR129039
179          5        9        ERR065329
180          4        8        ERR124269
181          5        9        ERR129200
182          5        9        ERR067995
183          5        9        ERR068012
184          5        9        ERR124274
185          3        4        ERR067993
186          5        9        ERR069708
187          4        8        ERR069717
188          4        8        ERR067974
189          5        9        ERR069744
190          5        7        ERR129210
191          4        8        ERR129108
192          5        9        ERR129132
193          4        8        ERR069711
194          5        9        ERR068019
