StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            2        6        ERR065974
3            2        6        ERR129065
4            3        9        ERR129037
5            1        3        ERR069700
6            3        10       ERR124247
7            3        5        ERR124222
8            3        7        ERR065305
9            3        8        ERR069786
10           3        10       ERR129179
11           3        10       ERR129176
12           3        8        ERR069709
13           3        9        ERR067985
14           3        10       ERR129212
15           3        9        ERR068037
16           3        9        ERR069814
17           3        10       ERR124241
18           3        7        ERR069795
19           3        10       ERR124293
20           3        8        ERR069735
21           3        1        ERR069773
22           1        3        ERR067966
23           2        6        ERR129029
24           2        4        ERR129105
25           3        10       ERR124226
26           2        4        ERR129196
27           3        8        ERR069823
28           3        10       ERR124319
29           3        8        ERR068001
30           3        10       ERR129117
31           3        1        ERR069764
32           3        9        ERR068007
33           3        7        ERR068008
34           1        3        ERR067969
35           3        10       ERR069703
36           2        4        ERR129195
37           3        10       ERR065325
38           3        8        ERR124256
39           3        10       ERR129087
40           3        8        ERR069819
41           3        10       ERR129129
42           3        10       ERR065960
43           3        7        ERR069796
44           3        9        ERR065326
45           3        8        ERR069712
46           3        9        ERR124244
47           3        5        ERR129075
48           3        9        ERR069713
49           2        6        ERR069826
50           2        6        ERR065341
51           3        7        ERR069771
52           3        5        ERR069706
53           3        7        ERR065970
54           2        6        ERR129130
55           3        9        ERR129096
56           3        9        ERR129107
57           3        8        ERR069809
58           3        1        ERR065302
59           3        8        ERR129187
60           1        3        ERR124314
61           3        9        ERR069686
62           2        6        ERR069824
63           3        8        ERR068048
64           3        7        ERR065972
65           3        8        ERR129164
66           3        9        ERR069688
67           3        8        ERR069685
68           3        9        ERR124307
69           3        10       ERR067962
70           1        3        ERR124257
71           3        9        ERR129127
72           2        4        ERR065301
73           2        6        ERR124287
74           3        10       ERR068025
75           3        8        ERR067964
76           3        10       ERR069811
77           3        9        ERR069727
78           3        7        ERR129063
79           3        10       ERR065332
80           3        9        ERR129028
81           3        10       ERR065287
82           3        10       ERR129213
83           3        9        ERR129155
84           3        10       ERR129042
85           3        10       ERR129148
86           3        1        ERR129040
87           3        8        ERR069835
88           3        9        ERR129146
89           3        10       ERR129102
90           2        6        ERR069729
91           3        10       ERR129152
92           3        10       ERR069748
93           3        5        ERR069843
94           3        10       ERR124229
95           3        8        ERR129088
96           3        9        ERR069752
97           3        8        ERR065350
98           3        7        ERR129149
99           3        9        ERR129214
100          3        10       ERR069833
101          3        10       ERR124310
102          3        9        ERR068046
103          3        9        ERR129215
104          3        7        ERR129140
105          3        7        ERR069831
106          3        10       ERR068014
107          3        7        ERR124315
108          3        5        ERR124255
109          2        4        ERR065342
110          3        10       ERR124235
111          3        9        ERR129159
112          3        9        ERR129204
113          3        10       ERR129094
114          3        10       ERR069689
115          3        7        ERR069751
116          3        8        ERR068005
117          3        10       ERR069749
118          3        8        ERR067981
119          3        9        ERR067996
120          2        6        ERR129052
121          3        7        ERR069785
122          3        9        ERR069792
123          3        8        ERR124271
124          3        5        ERR069687
125          3        10       ERR124277
126          2        2        ERR124228
127          3        9        ERR129044
128          3        8        ERR065353
129          3        10       ERR129074
130          3        7        ERR069817
131          3        8        ERR065953
132          2        6        ERR129076
133          3        9        ERR129154
134          3        10       ERR069725
135          3        9        ERR068040
136          3        8        ERR129051
137          3        10       ERR129157
138          3        10       ERR124311
139          3        8        ERR069746
140          3        9        ERR068031
141          3        9        ERR067986
142          3        9        ERR124291
143          2        6        ERR129055
144          2        6        ERR069780
145          3        10       ERR065327
146          3        9        ERR069822
147          3        10       ERR129207
148          3        10       ERR124288
149          3        10       ERR129026
150          3        9        ERR124218
