StrainIndex  Lineage  Cluster  Name
1            3        2        ERR069738
2            3        9        ERR065974
3            3        7        ERR129065
4            3        6        ERR129037
5            3        9        ERR069700
6            3        10       ERR124247
7            1        4        ERR124222
8            3        10       ERR065305
9            2        5        ERR069786
10           2        8        ERR129179
11           2        5        ERR129176
12           3        7        ERR069709
13           3        6        ERR067985
14           3        9        ERR129212
15           3        2        ERR068037
16           3        7        ERR069814
17           2        8        ERR124241
18           3        10       ERR069795
19           2        8        ERR124293
20           2        5        ERR069735
21           3        9        ERR069773
22           3        7        ERR067966
23           3        7        ERR129029
24           3        9        ERR129105
25           3        9        ERR124226
26           3        9        ERR129196
27           2        8        ERR069823
28           2        5        ERR124319
29           3        7        ERR068001
30           2        5        ERR129117
31           3        7        ERR069764
32           3        7        ERR068007
33           3        10       ERR068008
34           3        7        ERR067969
35           2        8        ERR069703
36           3        9        ERR129195
37           2        8        ERR065325
38           3        9        ERR124256
39           2        8        ERR129087
40           2        5        ERR069819
41           3        10       ERR129129
42           2        8        ERR065960
43           3        10       ERR069796
44           3        6        ERR065326
45           2        8        ERR069712
46           2        8        ERR124244
47           1        4        ERR129075
48           3        6        ERR069713
49           3        7        ERR069826
50           3        9        ERR065341
51           3        10       ERR069771
52           1        4        ERR069706
53           3        10       ERR065970
54           3        9        ERR129130
55           3        2        ERR129096
56           3        7        ERR129107
57           3        9        ERR069809
58           3        9        ERR065302
59           3        7        ERR129187
60           3        7        ERR124314
61           3        2        ERR069686
62           2        8        ERR069824
63           3        9        ERR068048
64           3        10       ERR065972
65           2        8        ERR129164
66           3        2        ERR069688
67           2        5        ERR069685
68           3        2        ERR124307
69           2        8        ERR067962
70           3        9        ERR124257
71           3        6        ERR129127
72           3        9        ERR065301
73           3        7        ERR124287
74           3        10       ERR068025
75           2        8        ERR067964
76           3        10       ERR069811
77           3        6        ERR069727
78           3        10       ERR129063
79           3        3        ERR065332
80           3        9        ERR129028
81           3        10       ERR065287
82           2        5        ERR129213
83           3        7        ERR129155
84           2        5        ERR129042
85           2        8        ERR129148
86           3        9        ERR129040
87           2        8        ERR069835
88           3        7        ERR129146
89           2        8        ERR129102
90           2        8        ERR069729
91           3        10       ERR129152
92           3        9        ERR069748
93           1        4        ERR069843
94           3        10       ERR124229
95           2        8        ERR129088
96           3        6        ERR069752
97           3        9        ERR065350
98           3        10       ERR129149
99           3        6        ERR129214
100          3        10       ERR069833
101          3        10       ERR124310
102          3        6        ERR068046
103          3        6        ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          3        7        ERR068014
107          3        10       ERR124315
108          1        4        ERR124255
109          3        9        ERR065342
110          2        5        ERR124235
111          3        6        ERR129159
112          3        2        ERR129204
113          3        7        ERR129094
114          3        9        ERR069689
115          3        10       ERR069751
116          3        7        ERR068005
117          2        8        ERR069749
118          2        8        ERR067981
119          3        2        ERR067996
120          3        7        ERR129052
121          3        9        ERR069785
122          3        9        ERR069792
123          3        10       ERR124271
124          3        10       ERR069687
125          2        8        ERR124277
126          3        9        ERR124228
127          3        7        ERR129044
128          3        7        ERR065353
129          2        8        ERR129074
130          3        10       ERR069817
131          3        7        ERR065953
132          3        7        ERR129076
133          3        6        ERR129154
134          3        3        ERR069725
135          3        6        ERR068040
136          2        8        ERR129051
137          2        5        ERR129157
138          3        9        ERR124311
139          2        8        ERR069746
140          3        9        ERR068031
141          3        6        ERR067986
142          3        6        ERR124291
143          3        7        ERR129055
144          3        7        ERR069780
145          3        10       ERR065327
146          3        6        ERR069822
147          3        10       ERR129207
148          2        5        ERR124288
149          3        3        ERR129026
150          3        6        ERR124218
151          3        7        ERR068027
152          3        7        ERR069710
153          3        6        ERR065310
154          3        10       ERR129160
155          2        8        ERR065300
156          3        9        ERR069789
157          3        2        ERR065343
158          3        7        ERR069802
159          3        7        ERR129027
160          3        10       ERR129170
161          3        10       ERR129048
162          2        8        ERR065968
163          3        9        ERR065965
164          3        6        ERR068044
165          3        9        ERR129180
166          3        9        ERR068016
167          2        8        ERR065324
168          3        10       ERR129112
169          2        8        ERR129158
170          3        3        ERR069698
171          2        8        ERR069812
172          3        6        ERR124302
173          3        9        ERR129083
174          3        9        ERR065354
175          3        9        ERR069787
176          3        10       ERR068017
177          3        9        ERR129066
178          3        10       ERR129039
179          2        8        ERR065329
180          3        10       ERR124269
181          2        8        ERR129200
182          3        2        ERR067995
183          2        8        ERR068012
184          3        3        ERR124274
185          3        9        ERR067993
186          2        5        ERR069708
187          3        7        ERR129106
188          3        10       ERR069717
189          3        9        ERR067974
190          3        7        ERR069744
191          3        6        ERR129210
192          3        10       ERR129108
193          2        8        ERR129132
194          3        10       ERR069711
195          2        8        ERR068019
196          2        8        ERR129099
197          3        10       ERR129059
198          2        8        ERR065292
199          3        9        ERR067961
200          3        9        ERR069820
201          3        9        ERR129216
202          3        7        ERR129116
203          2        8        ERR124250
204          2        8        ERR069690
205          1        4        ERR065973
206          3        10       ERR065309
207          3        3        ERR124283
208          3        3        ERR065293
209          3        9        ERR069825
210          2        8        ERR069737
211          2        8        ERR124316
212          3        9        ERR065304
213          3        9        ERR129144
214          3        10       ERR124232
215          2        8        ERR068018
216          3        6        ERR124296
217          3        10       ERR067960
218          3        10       ERR068050
219          3        9        ERR068039
220          3        7        ERR068004
221          3        10       ERR129032
222          3        2        ERR124248
223          2        8        ERR068041
224          2        8        ERR129086
225          3        10       ERR065317
226          2        8        ERR069834
227          1        4        ERR069720
228          2        8        ERR129050
229          3        9        ERR129064
230          3        7        ERR069830
231          3        10       ERR069774
232          3        7        ERR129206
233          3        6        ERR069801
234          3        3        ERR124221
235          3        6        ERR129080
236          3        3        ERR068026
237          3        7        ERR129147
238          3        10       ERR069829
239          3        9        ERR129077
240          3        10       ERR067994
241          2        8        ERR069726
242          3        2        ERR065338
243          3        10       ERR129041
244          3        3        ERR065297
245          3        10       ERR129120
246          3        3        ERR129061
247          3        7        ERR124219
248          3        7        ERR065345
249          3        10       ERR124305
250          3        9        ERR069769
251          2        5        ERR065295
252          2        8        ERR069768
253          3        10       ERR129197
254          2        8        ERR065967
255          3        7        ERR124223
