StrainIndex  Lineage  Cluster  Name
1            2        10       ERR069738
2            2        1        ERR065974
3            1        4        ERR129065
4            2        8        ERR129037
5            1        3        ERR069700
6            2        7        ERR124247
7            1        5        ERR124222
8            2        9        ERR065305
9            2        9        ERR069786
10           2        10       ERR129179
11           2        8        ERR129176
12           2        7        ERR069709
13           2        8        ERR067985
14           2        10       ERR129212
15           2        10       ERR068037
16           1        3        ERR069814
17           2        10       ERR124241
18           2        9        ERR069795
19           2        10       ERR124293
20           2        7        ERR069735
21           2        8        ERR069773
22           1        3        ERR067966
23           1        4        ERR129029
24           2        2        ERR129105
25           2        10       ERR124226
26           2        2        ERR129196
27           2        10       ERR069823
28           2        8        ERR124319
29           2        7        ERR068001
30           2        8        ERR129117
31           2        6        ERR069764
32           1        3        ERR068007
33           2        9        ERR068008
34           1        3        ERR067969
35           2        10       ERR069703
36           2        2        ERR129195
37           2        10       ERR065325
38           2        6        ERR124256
39           2        10       ERR129087
40           2        7        ERR069819
41           2        9        ERR129129
42           2        10       ERR065960
43           2        9        ERR069796
44           2        8        ERR065326
45           2        6        ERR069712
46           2        7        ERR124244
47           1        5        ERR129075
48           2        8        ERR069713
49           1        4        ERR069826
50           2        1        ERR065341
51           2        9        ERR069771
52           1        5        ERR069706
53           2        9        ERR065970
54           2        1        ERR129130
55           2        10       ERR129096
56           2        10       ERR129107
57           2        6        ERR069809
58           2        8        ERR065302
59           1        3        ERR129187
60           1        3        ERR124314
61           2        10       ERR069686
62           2        7        ERR069824
63           2        6        ERR068048
64           2        9        ERR065972
65           2        6        ERR129164
66           2        10       ERR069688
67           2        9        ERR069685
68           2        10       ERR124307
69           2        10       ERR067962
70           2        10       ERR124257
71           2        8        ERR129127
72           2        2        ERR065301
73           1        4        ERR124287
74           2        7        ERR068025
75           2        10       ERR067964
76           2        7        ERR069811
77           2        8        ERR069727
78           2        9        ERR129063
79           2        7        ERR065332
80           2        8        ERR129028
81           2        9        ERR065287
82           2        8        ERR129213
83           2        10       ERR129155
84           2        8        ERR129042
85           2        10       ERR129148
86           2        8        ERR129040
87           2        10       ERR069835
88           1        4        ERR129146
89           1        5        ERR129102
90           2        7        ERR069729
91           2        7        ERR129152
92           2        10       ERR069748
93           1        5        ERR069843
94           2        9        ERR124229
95           2        6        ERR129088
96           2        8        ERR069752
97           2        6        ERR065350
98           2        9        ERR129149
99           2        8        ERR129214
100          2        9        ERR069833
101          1        5        ERR124310
102          2        8        ERR068046
103          2        8        ERR129215
104          2        9        ERR129140
105          2        9        ERR069831
106          1        3        ERR068014
107          2        9        ERR124315
108          1        5        ERR124255
109          2        2        ERR065342
110          2        8        ERR124235
111          2        8        ERR129159
112          2        10       ERR129204
113          1        3        ERR129094
114          2        10       ERR069689
115          2        9        ERR069751
116          2        6        ERR068005
117          2        10       ERR069749
118          2        6        ERR067981
119          2        10       ERR067996
120          1        4        ERR129052
121          2        8        ERR069785
